"31 07 2021 21:52:46.748632","[(0.3664340674877167, 0.3239946663379669, 0.941020667552948, 23.015960693359375), (0.7328681349754333, 0.24125126004219055, 0.857948899269104, 23.015960693359375), (0.3664340674877167, 0.3366508185863495, 0.9671865701675415, 23.375585556030273), (0.7328681349754333, 0.30907031893730164, 0.90660160779953, 23.375585556030273), (0.3664340674877167, 0.34813806414604187, 0.9888935089111328, 23.735210418701172), (0.7328681349754333, 0.31452950835227966, 0.9196832180023193, 23.735210418701172), (0.3664340674877167, 0.3570159673690796, 1.0044984817504883, 24.094833374023438), (0.7328681349754333, 0.31852686405181885, 0.9288937449455261, 24.094833374023438), (0.3664340674877167, 0.44633248448371887, 1.039368987083435, 24.454458236694336), (0.7328681349754333, 0.4304024875164032, 0.9283193349838257, 24.454458236694336), (0.3664340674877167, 0.30804866552352905, 0.9040858745574951, 22.656335830688477)]"
"31 07 2021 21:52:46.797500","[(0.3664340674877167, -0.14572232961654663, 0.8689491152763367, 23.015960693359375), (0.3664340674877167, -0.15045353770256042, 0.8950586915016174, 23.375585556030273), (0.3664340674877167, -0.1546434909105301, 0.9164305329322815, 23.735210418701172), (4.76364278793335, -0.04648050293326378, -0.8331241607666016, 0.7192487716674805), (4.76364278793335, 0.6382464170455933, -0.08273620158433914, 0.7192487716674805), (0.3664340674877167, -0.15892207622528076, 0.9367589950561523, 24.094833374023438), (1.8321703672409058, 0.13259077072143555, -0.7825202941894531, 1.0788731575012207), (0.3664340674877167, 0.12548455595970154, -0.04985205456614494, 1.438497543334961), (0.7328681349754333, 0.41574084758758545, 0.9984122514724731, -21.577463150024414)]"
"31 07 2021 21:52:46.849362","[(2.1986043453216553, 0.05419114604592323, 0.9558131098747253, 0.0), (1.8321703672409058, 0.0469280406832695, 0.8417513966560364, 0.35962438583374023), (2.1986043453216553, 0.05608045309782028, 0.9793920516967773, 0.35962438583374023), (2.5650384426116943, 0.05146634206175804, 0.917935848236084, 0.35962438583374023), (1.8321703672409058, 0.09014245867729187, 0.8033678531646729, 0.7192487716674805), (2.1986043453216553, 0.05531871318817139, 0.9701249003410339, 0.7192487716674805), (2.5650384426116943, 0.05159894749522209, 0.9198979735374451, 0.7192487716674805), (1.0993021726608276, 0.1611471325159073, -0.22932492196559906, 1.0788731575012207), (1.4657362699508667, 0.1599436104297638, -0.194810152053833, 1.0788731575012207), (1.8321703672409058, 0.10654472559690475, 0.49159908294677734, 1.0788731575012207), (2.1986043453216553, 0.10697860270738602, 0.9454910159111023, 1.0788731575012207), (2.5650384426116943, 0.10230271518230438, 0.9122106432914734, 1.0788731575012207), (0.7328681349754333, 0.15852122008800507, -0.1428607851266861, 1.438497543334961), (1.0993021726608276, 0.15870311856269836, -0.1505560725927353, 1.438497543334961), (1.4657362699508667, 0.15875323116779327, -0.1526058167219162, 1.438497543334961)]"
"31 07 2021 21:52:46.945105","[(1.8321703672409058, 0.12725012004375458, -0.1735762655735016, -23.015960693359375), (1.8321703672409058, 0.0, 1.0034846067428589, -1.0788731575012207), (1.8321703672409058, 0.0, 0.9868610501289368, -0.7192487716674805), (3.6643407344818115, -0.04527817294001579, 0.8087352514266968, -0.7192487716674805), (1.8321703672409058, 0.12758615612983704, -0.18792888522148132, -23.375585556030273)]"
"31 07 2021 21:52:47.001953","[(0.3664340674877167, -0.1408025324344635, 1.1092265844345093, 23.015960693359375), (1.8321703672409058, 0.09763085097074509, -0.27737727761268616, -23.015960693359375), (4.3972086906433105, 0.09612404555082321, -1.2391480207443237, 0.0), (0.3664340674877167, -0.11872702836990356, 1.014957070350647, 21.937088012695312), (1.8321703672409058, 0.09538640826940536, -0.17722667753696442, -24.094833374023438), (2.1986043453216553, 0.0, 0.4992468059062958, -1.0788731575012207), (2.1986043453216553, 0.3192059397697449, -0.091498963534832, -1.0788731575012207), (3.2979066371917725, 0.5244699120521545, -0.054892923682928085, 21.937088012695312), (4.3972086906433105, 0.19041010737419128, -0.13654468953609467, -24.094833374023438), (4.76364278793335, 0.13936947286128998, 1.1041392087936401, -1.0788731575012207), (0.3664340674877167, -0.12407196313142776, 1.0413742065429688, 22.296710968017578), (1.8321703672409058, 0.09708403050899506, -0.2569211423397064, -23.735210418701172), (3.2979066371917725, 0.566946804523468, -0.9497668743133545, -23.735210418701172), (4.3972086906433105, 0.1894903928041458, -0.09550858289003372, -23.735210418701172), (4.76364278793335, 0.19141295552253723, -0.17011766135692596, -23.735210418701172), (0.3664340674877167, -0.1306898593902588, 1.0706026554107666, 22.656335830688477), (1.8321703672409058, 0.31849005818367004, -0.0635911077260971, -0.35962438583374023), (1.8321703672409058, -0.04060446098446846, 0.6922193765640259, -0.35962438583374023), (3.2979066371917725, 0.4281875789165497, -0.8266454339027405, -23.375585556030273), (4.3972086906433105, 0.18897540867328644, -0.061283744871616364, -23.375585556030273), (4.76364278793335, 0.19020475447177887, -0.1285495162010193, -23.375585556030273)]"
"31 07 2021 21:52:47.047830","[(0.3664340674877167, 0.41353943943977356, 1.171441674232483, 23.015960693359375), (0.7328681349754333, 0.7575737237930298, 1.341404914855957, 23.015960693359375), (0.3664340674877167, 0.33819037675857544, 1.184505581855774, 23.375585556030273), (0.3664340674877167, 0.344230055809021, 0.981709897518158, 21.577463150024414), (0.7328681349754333, 0.29725325107574463, 0.8760883808135986, 21.577463150024414), (0.3664340674877167, 0.3080483078956604, 1.0293949842453003, 21.937088012695312), (0.7328681349754333, 0.31413501501083374, 1.040634036064148, 21.937088012695312), (0.3664340674877167, 0.3367106020450592, 1.0781782865524292, 22.296710968017578), (0.7328681349754333, 0.39205145835876465, 1.1495037078857422, 22.296710968017578), (0.3664340674877167, 0.37120380997657776, 1.1254701614379883, 22.656335830688477), (0.7328681349754333, 0.5081008076667786, 1.2438430786132812, 22.656335830688477)]"
"31 07 2021 21:52:47.100689","[(3.6643407344818115, -0.8042652606964111, -0.06606113910675049, -23.015960693359375), (4.0307745933532715, -0.8036056756973267, -0.055628612637519836, -23.015960693359375), (0.3664340674877167, 0.1950819492340088, -0.2566017508506775, -1.7981219291687012), (0.3664340674877167, 0.19397586584091187, -0.23418588936328888, -1.438497543334961), (0.7328681349754333, 0.1941588968038559, -0.238056480884552, -1.438497543334961), (0.3664340674877167, 0.16387926042079926, -0.29180243611335754, -1.0788731575012207), (0.7328681349754333, 0.19385504722595215, -0.23159220814704895, -1.0788731575012207), (2.9314725399017334, -0.15742553770542145, 0.0819467306137085, -24.094833374023438), (3.2979066371917725, -0.5247835516929626, -0.6252160668373108, -1.0788731575012207), (4.0307745933532715, -0.8043610453605652, -0.06744107604026794, -24.094833374023438), (2.9314725399017334, -0.19310392439365387, 0.21469873189926147, -23.735210418701172), (2.9314725399017334, 0.39211001992225647, -0.7436707615852356, -23.735210418701172), (3.2979066371917725, -0.503649115562439, -0.24036350846290588, -0.7192487716674805), (4.0307745933532715, -0.8048699498176575, -0.07433750480413437, -23.735210418701172), (2.9314725399017334, -0.5580076575279236, -0.3353591561317444, -0.35962438583374023), (3.2979066371917725, -0.4932093322277069, -0.14109881222248077, -0.35962438583374023), (4.0307745933532715, -0.8044915795326233, -0.06927642226219177, -23.375585556030273), (4.3972086906433105, -0.8021525740623474, 0.017020808532834053, -23.375585556030273)]"
"31 07 2021 21:52:47.147563","[(0.7328681349754333, 0.8545631170272827, -0.9002040028572083, 21.937088012695312), (1.0993021726608276, 0.7357404232025146, -0.7975776195526123, 21.937088012695312), (1.0993021726608276, 0.7211887836456299, -0.7813999056816101, 22.296710968017578), (3.6643407344818115, 0.06402581185102463, -0.21565678715705872, -0.7192487716674805), (3.6643407344818115, -0.1246480941772461, 0.716561496257782, 22.656335830688477), (3.6643407344818115, 0.32507070899009705, -0.20787741243839264, 22.656335830688477), (4.0307745933532715, -0.24160362780094147, -0.4170757532119751, -23.375585556030273), (4.0307745933532715, 0.4006897807121277, 1.0693398714065552, -23.375585556030273)]"
"31 07 2021 21:52:47.194438","[(0.7328681349754333, 0.26603350043296814, -0.31463897228240967, 0.7192487716674805)]"
"31 07 2021 21:52:47.248294","[(0.3664340674877167, 0.6259602308273315, -1.1299426555633545, 23.015960693359375), (0.3664340674877167, 0.570971667766571, -1.0898959636688232, 23.375585556030273), (3.6643407344818115, -0.09473539888858795, -0.13366447389125824, 23.375585556030273), (4.0307745933532715, -0.06422711908817291, -0.22950738668441772, 23.375585556030273), (0.3664340674877167, 0.5110424757003784, -1.0342662334442139, 23.735210418701172), (0.7328681349754333, 0.629035234451294, -1.1898565292358398, 23.735210418701172), (3.6643407344818115, -0.09447821974754333, -0.11168278008699417, 23.735210418701172), (4.0307745933532715, -0.031768813729286194, -0.18005070090293884, 23.735210418701172), (0.3664340674877167, 0.4157806634902954, -0.9984703660011292, 24.094833374023438), (0.7328681349754333, 0.09444352239370346, 0.10836773365736008, -21.937088012695312), (4.0307745933532715, -0.0314348079264164, -0.10696502029895782, 24.094833374023438), (0.3664340674877167, 0.3740597367286682, -1.0319572687149048, 24.454458236694336)]"
